transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2403-03_tr_01,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Defence,cabinetMinister,2024-09-23
2403-03_tr_02,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,2024-09-23
2403-03_tr_03,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Technology,cabinetMinister,2024-09-23
2403-03_tr_04,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Women, Child Affairs and Social Empowerment",cabinetMinister,2024-09-23
2403-03_tr_05,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Ports, Shipping and Aviation",cabinetMinister,2024-09-23
2403-03_tr_06,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Investment Promotion,cabinetMinister,2024-09-23
2403-03_tr_07,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",cabinetMinister,2024-09-23
2403-03_tr_08,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Fisheries,cabinetMinister,2024-09-23
2403-03_tr_09,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Education,cabinetMinister,2024-09-23
2403-03_tr_10,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Transport and Highways,cabinetMinister,2024-09-23
2403-03_tr_11,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Mass Media,cabinetMinister,2024-09-23
2403-03_tr_12,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Health,cabinetMinister,2024-09-23
2403-03_tr_13,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Water Supply and Estate Infrastructure Development,cabinetMinister,2024-09-23
2403-03_tr_14,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Agriculture and Plantation Industries,cabinetMinister,2024-09-23
2403-03_tr_15,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Wildlife and Forest Resources Conservation,cabinetMinister,2024-09-23
2403-03_tr_16,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Justice, Prisons Affairs and Constitutional Reforms",cabinetMinister,2024-09-23
2403-03_tr_17,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Tourism and Lands,cabinetMinister,2024-09-23
